"_type","associated_parts","file_urls","files","image_urls","information","manufacturer","manufacturer_part","origin_country","overview","primary_image_url","stock_count","title","trail","unit_price","url"
"FarnellItem","","","","","{""name"":""Core Architecture:"",""value"":""ARM""},{""name"":""Supported Families:"",""value"":""Cortex-M, Cortex-R""},{""name"":""Software Edition:"",""value"":""Professional""},{""name"":""Licence Type:"",""value"":""Floating""},{""name"":""No. of User Licences:"",""value"":""1""},{""name"":""Supported Hosts:"",""value"":""Windows""},{""name"":""Product Range:"",""value"":""-""}","ALTIUM","07-200-103-808-05-2-1U","United States","","http://uk.farnell.com/productimages/large/en_GB/2523310-40.jpg","1","07-200-103-808-05-2-1U ALTIUM, IDE, ARM Cortex, Floating, Professional Edition, Windows, 1 Licence","Engineering Software,Compilers & IDEs,ARM Platform","345769","http://uk.farnell.com/altium/07-200-103-808-05-2-1u/ide-arm-floating-cortex-m-r/dp/2523312"
"FarnellItem","MSP-EXP430G2,CC3200-LAUNCHXL,LM3900N,OPA2277U,TPS71533DCKR,SN74HC02DR","","","","{""name"":""Tag Type:"",""value"":""Inlay - Circular""},{""name"":""Frequency:"",""value"":""13.56MHz""},{""name"":""Memory Size:"",""value"":""2112bit""},{""name"":""Product Range:"",""value"":""-""}","TEXAS INSTRUMENTS","RI-I17-112A-03","Malaysia","The RI-I17-112A-03 is a Tag-it HF-I plus transponder inlay consist of 13.56MHz high frequency (HF). This product offer a user accessible memory of 2048bits, organized in 64 blocks, and an extensive command set available in six different antenna shapes, with frequency offset for integration into paper, PVC, or other substrates. The Tag-it HF-I plus transponder inlay is manufactured with patented laser tuning process to provide consistent read performance. Prior to delivery, the transponders undergo complete functional and parametric testing, in order to provide the high quality that customers have come. The Tag-it HF-I plus transponder inlay is well suited for a variety of applications.
	


    
          
    ISO/IEC 15693-2, -3; ISO/IEC 18000-3 compliant
          
    13.56MHz operating frequency
          
    2048bit user memory in 64bit × 32bit blocks
          
    User and factory lock per block
          
    Application family identifier (AFI)
          
    Data storage format identifier (DSFID)
          
    Combined inventory read block
        
    
    
    
 

    
            Applications
            
            
                        Industrial, 
                    
                        Security, 
                    
                        Consumer Electronics, 
                    
                        Wireless","http://uk.farnell.com/productimages/large/en_GB/2335639-40.jpg","5","RI-I17-112A-03 TEXAS INSTRUMENTS, Tag-it™ HF-I Plus RFID Transponder Inlays CD, 13.56 Mhz","Wireless Modules & Adaptors,RFID Modules,RFID Transponders & Tags","54","http://uk.farnell.com/texas-instruments/ri-i17-112a-03/rfid-transponder-cd-inlay-13-56mhz/dp/2335639"
"FarnellItem","4732.0000,4733.0000,PE00058,S501-6.3-R","http://www.farnell.com/datasheets/1914944.pdf","(EN)","http://uk.farnell.com/productimages/large/en_GB/1125797-500.jpg","{""name"":""No. of Outlets:"",""value"":""5Outlets""},{""name"":""Outlet Type:"",""value"":""IEC 60320 C13""},{""name"":""Current Rating:"",""value"":""15A""},{""name"":""Supply Voltage V AC:"",""value"":""250V""},{""name"":""Plug Type:"",""value"":""IEC 60320 C14 Inlet""},{""name"":""Cable Length:"",""value"":""-""},{""name"":""Product Range:"",""value"":""-""}","SCHURTER","R47403100","Czech Republic","Five way filtered distribution board for IEC320/CEE22
          
    Manufactured from rugged, black ABS to BS5733 requirements
          
    Fitted with mains red neon indicator and 6.3A 20x5mm fuse","http://uk.farnell.com/productimages/large/en_GB/1125797-40.jpg","1","R47403100 SCHURTER, Power Outlet Strip, IEC Distribution Unit, 5 Outlets, IEC 60320 C13, 15 A, 250 V","Electrical,Power Outlet Strips","5685","http://uk.farnell.com/schurter/r47403100/filter-6a-stripblock/dp/1125797"
"FarnellItem","","http://www.farnell.com/datasheets/2025605.pdf","(EN)","http://uk.farnell.com/productimages/large/en_GB/2530473-500.jpg","{""name"":""No. of Ways:"",""value"":""4""},{""name"":""Current Rating:"",""value"":""-""},{""name"":""Product Range:"",""value"":""-""}","RAYTECH","ISAAC4-MP","Italy","","http://uk.farnell.com/productimages/large/en_GB/2530473-40.jpg","1","ISAAC4-MP RAYTECH, Junction Box, 4","Electrical,Junction Boxes","954","http://uk.farnell.com/raytech/isaac4-mp/junction-box-gel-filled-ipx-8/dp/2530473"
"FarnellItem","9498SMB,9798,K2142WHI,K2172WHI","http://www.farnell.com/datasheets/1673730.pdf","(EN)","http://uk.farnell.com/productimages/large/en_GB/1286506-500.jpg","{""name"":""Finish:"",""value"":""White Moulded""},{""name"":""Product Range:"",""value"":""Pro-Elec Moulded Wall Plate""}","PRO ELEC","9098","China","Quick and simple installation
          
    Manufactured to BS1363","http://uk.farnell.com/productimages/large/en_GB/1286506-40.jpg","1","9098 PRO ELEC, 13A Switched Socket, 2 Gang Single Pole","Electrical,Switch & Socket Ranges","160","http://uk.farnell.com/pro-elec/9098/socket-switched-2gang-sp/dp/1286506"
"FarnellItem","","http://www.farnell.com/datasheets/2599.pdf","(EN)","","{""name"":""No. of Gangs:"",""value"":""1""},{""name"":""Internal Depth:"",""value"":""35mm""},{""name"":""Electrical Box Material:"",""value"":""Steel""},{""name"":""Electrical Box Mounting:"",""value"":""Dry Lining / Wall""},{""name"":""For Use With:"",""value"":""-""},{""name"":""Product Range:"",""value"":""-""}","MK","866ZIC","Great Britain","The 866ZIC is a 1-gang Mounting Box with brass earth terminal fitted in the base and steel lugs one of which is adjustable.
	
    
            Applications
            
            
                        Industrial","http://uk.farnell.com/productimages/large/en_GB/42259810.jpg","1","866ZIC MK, MOUNTING BOX, 35MM, 1GANG","Electrical,Back & Mounting Boxes","275","http://uk.farnell.com/mk/866zic/mounting-box-35mm-1gang/dp/107713"
"FarnellItem","0138-BK,0138-W,3183Y-1.50MMBLK","http://www.farnell.com/datasheets/1662315.pdf","(EN)","","{""name"":""No. of Outlets:"",""value"":""2Outlets""},{""name"":""Outlet Type:"",""value"":""UK""},{""name"":""Current Rating:"",""value"":""13A""},{""name"":""Supply Voltage V AC:"",""value"":""250V""},{""name"":""Plug Type:"",""value"":""-""},{""name"":""Cable Length:"",""value"":""-""},{""name"":""Product Range:"",""value"":""-""}","PRO ELEC","0138-OR","China","Manufactured from high impact rubberised plastic, rated at 13A and conforms to BS1363/A.","http://uk.farnell.com/productimages/large/en_GB/PL09467-40.jpg","1","0138-OR PRO ELEC, 13A Rubberised Extension Socket, 1-Way, Orange","Electrical,Power Outlet Strips","132","http://uk.farnell.com/pro-elec/0138-or/socket-extension-1way-rubber-orange/dp/1286445"
"FarnellItem","4732.0000,4733.0000","http://www.farnell.com/datasheets/2343293.pdf","(EN)","","{""name"":""No. of Outlets:"",""value"":""4Outlets""},{""name"":""Outlet Type:"",""value"":""IEC 60320 C13""},{""name"":""Current Rating:"",""value"":""15A""},{""name"":""Supply Voltage V AC:"",""value"":""250V""},{""name"":""Plug Type:"",""value"":""Hardwired""},{""name"":""Cable Length:"",""value"":""-""},{""name"":""Product Range:"",""value"":""-""}","SCHURTER","4752.4000","Switzerland","The 4752.4000 is a Strip Block for snap-in mounting with 4 IEC appliance outlets F. It is made of UL94V-0 rated black thermoplastic housing. The front side snap-in strip block has 4 x 0.8mm solder and 6.3 x 0.8mm quick-connect terminals. It is suitable for use in equipment according to IEC/UL 60950 and appliances with protection class I according to IEC 61140.
	


    
          
    Busbar is of single piece (no soldering)
          
    Insulation cover on the rear-side
          
    1.5mm Panel thickness
        
    
    
    
 

    
            Applications
            
            
                        Power Management, 
                    
                        Consumer Electronics","http://uk.farnell.com/productimages/large/en_GB/9523839-40.jpg","1","4752.4000 SCHURTER, Power Outlet Strip, IEC Distribution Unit, 4 Outlets, IEC 60320 C13, 15 A, 250 V, Hardwired","Electrical,Power Outlet Strips","796","http://uk.farnell.com/schurter/4752-4000/socket-iec-4way-1-5mm/dp/1176784"
"FarnellItem","","http://www.farnell.com/datasheets/1780426.pdf","(EN)","http://uk.farnell.com/productimages/large/en_GB/2543085-500.jpg","{""name"":""Contact Current AC Max:"",""value"":""6A""},{""name"":""Contact Voltage AC Max:"",""value"":""125V""},{""name"":""Product Range:"",""value"":""-""}","MULTICOMP","SPC21175","China","The SPC21175 is a single-pole single-throw Pull Chain Switch with 1000MR at 500VDC minimum insulation resistance and 30mR maximum insulation resistance.
	


    
          
    1000VRMS Dielectric strength
          
    10000 Cycles life
          
    -30 to +85°C Operating temperature range
        
    
    
    
 

    
            Applications
            
            
                        Industrial","http://uk.farnell.com/productimages/large/en_GB/2543085-40.jpg","1","SPC21175 MULTICOMP, Pull Chain Switch, 6 A, 125 V","Electrical,Pull Switches","314","http://uk.farnell.com/multicomp/spc21175/pull-chain-switch-spst-6a-125v/dp/2543085"
"FarnellItem","2668-2M,1.500206","http://www.farnell.com/datasheets/1499656.pdf","(EN)","","{""name"":""No. of Outlets:"",""value"":""4Outlets""},{""name"":""Outlet Type:"",""value"":""UK""},{""name"":""Current Rating:"",""value"":""13A""},{""name"":""Supply Voltage V AC:"",""value"":""250V""},{""name"":""Plug Type:"",""value"":""UK""},{""name"":""Cable Length:"",""value"":""2m""},{""name"":""Product Range:"",""value"":""-""}","PRO ELEC","2188RFI-2M","China","Surge and RFI protected
          
    Fitted with removable 13A fuse
          
    Neon indicator
          
    Wall mountable
          
    Heavy duty, strong design
          
    Conforms to BS1363/A","http://uk.farnell.com/productimages/large/en_GB/PL10032-40.jpg","1","2188RFI-2M PRO ELEC, Power Outlet Strip, 4 Outlets, UK, 13 A, 250 V, UK, 2 m","Electrical,Power Outlet Strips","1580","http://uk.farnell.com/pro-elec/2188rfi-2m/extension-lead-4-gang-switched/dp/1661456"
"FarnellItem","PL03866,PL03867,PL03868","http://www.farnell.com/datasheets/1661990.pdf","(EN)","","{""name"":""No. of Outlets:"",""value"":""4Outlets""},{""name"":""Outlet Type:"",""value"":""Schuko""},{""name"":""Current Rating:"",""value"":""-""},{""name"":""Supply Voltage V AC:"",""value"":""-""},{""name"":""Plug Type:"",""value"":""Schuko""},{""name"":""Cable Length:"",""value"":""3m""},{""name"":""Product Range:"",""value"":""-""}","PRO ELEC","PL03865","Germany","3m lead with moulded Schuko plug
          
    4 gang socket block sold separately","http://uk.farnell.com/productimages/large/en_GB/PL03865-40.jpg","1","PL03865 PRO ELEC, 4 Gang Schuko European Extension Lead, White, 3m Lead","Electrical,Power Outlet Strips","1646","http://uk.farnell.com/pro-elec/pl03865/extension-lead-euro-wht-4gang/dp/1718006"
"FarnellItem","","http://www.farnell.com/datasheets/2339481.pdf","(EN)","","{""name"":""Product Range:"",""value"":""-""}","SCHURTER","4700.0009","Czech Republic","The 4700.0009 is a Cord Retaining Kit with screw-on from front side front panel and protection against accidental disconnection of the plug function. It is for protection against loosening or accidental disconnection of the plug connector. Horizontal flanged components are secured to the panel using the kit supplied. Vertical flanged or snap-in components require additional drilling for the cord retaining kit.
	
    
            Applications
            
            
                        Industrial

                        
          
    

    
       Contents
        
            Cord retaining kit, Stainless steel retaining clip, Nickel plated brass pillars, Nickel plated brass nuts and Nickel plated beryllium copper crinkle washers.","http://uk.farnell.com/productimages/large/en_GB/2080443-40.jpg","1","4700.0009 SCHURTER, CORD RETAINING KIT, J","Electrical,Electrical Accessories","372","http://uk.farnell.com/schurter/4700-0009/cord-retaining-kit-j/dp/2080442"
"FarnellItem","K2025WHI,K2140WHI,K2031WHI","http://www.farnell.com/datasheets/18728.pdf","(EN)","","{""name"":""Product Range:"",""value"":""MK Logic Plus Moulded Wall Plate""}","MK","K3827WHI","Great Britain","White blanking plate to match the MK LOGIC PLUS range of wiring accessories.","http://uk.farnell.com/productimages/large/en_GB/42268035.jpg","1","K3827WHI MK, BLANK PLATE","Electrical,Electrical Accessories","146","http://uk.farnell.com/mk/k3827whi/blank-plate/dp/987384"
"FarnellItem","PSG90900","http://www.farnell.com/datasheets/1662289.pdf","(EN)","","{""name"":""Torch Type:"",""value"":""Head Light""},{""name"":""Light Source:"",""value"":""12 x LED""},{""name"":""Lumen Output:"",""value"":""-""},{""name"":""Beam Effective Distance:"",""value"":""-""},{""name"":""Power Source:"",""value"":""AAA Batteries x 3""},{""name"":""Torch Body Material:"",""value"":""Plastic""},{""name"":""Product Range:"",""value"":""-""}","PRO ELEC","HS5606-12LED","China","12x high intensity LEDs (100,000 hours average life)
          
    4 mode operation - 4 LED, 8 LED, 12 LED, 12 LED Flashing
          
    Adjustable head strap with padded front section for comfort
          
    Adjustable position head for work area focus
          
    Torch head dimensions (WxHxD): 70 x 55 x 60mm
          
    Requires 3x AAA batteries (not supplied)","http://uk.farnell.com/productimages/large/en_GB/LA0306407-40.jpg","1","HS5606-12LED PRO ELEC, Torch, Head Light, 12 x LED","Electrical,Torches","347","http://uk.farnell.com/pro-elec/hs5606-12led/headtorch-12-led/dp/1736638"
"FarnellItem","MC000950","http://www.farnell.com/datasheets/2036692.pdf","(EN)","http://uk.farnell.com/productimages/large/en_GB/2537037-500.jpg,http://uk.farnell.com/productimages/large/en_GB/2537037-501.jpg,http://uk.farnell.com/productimages/large/en_GB/2537037-502.jpg","{""name"":""Finish:"",""value"":""Grey Moulded""},{""name"":""Product Range:"",""value"":""Logic Plus Series""}","MK","K2743WHI","Great Britain","","http://uk.farnell.com/productimages/large/en_GB/2537037-40.jpg","1","K2743WHI MK, SWITCHSOCKET OUTLET, 2GANG, DUAL USB","Electrical,Switch & Socket Ranges","2376","http://uk.farnell.com/mk/k2743whi/switchsocket-outlet-2gang-dual/dp/2537037"
"FarnellItem","9393,3183Y-1.50MMWHT","http://www.farnell.com/datasheets/1499647.pdf","(EN)","","{""name"":""No. of Outlets:"",""value"":""6Outlets""},{""name"":""Outlet Type:"",""value"":""UK""},{""name"":""Current Rating:"",""value"":""13A""},{""name"":""Supply Voltage V AC:"",""value"":""240V""},{""name"":""Plug Type:"",""value"":""-""},{""name"":""Cable Length:"",""value"":""-""},{""name"":""Product Range:"",""value"":""-""}","PRO ELEC","95668","China","6-Gang socket with integral neon indicator
          
    Rated at 13A and conforms to BS 1363/A","http://uk.farnell.com/productimages/large/en_GB/PL0919006-40.jpg","1","95668 PRO ELEC, Power Outlet Strip, 6 Outlets, UK, 13 A, 240 V","Electrical,Power Outlet Strips","760","http://uk.farnell.com/pro-elec/95668/trailing-socket-6way-white/dp/1286437"
"FarnellItem","PSG90901,PSG90903","http://www.farnell.com/datasheets/2282438.pdf","(EN)","","{""name"":""Torch Type:"",""value"":""LED Torch""},{""name"":""Light Source:"",""value"":""3 x LED""},{""name"":""Lumen Output:"",""value"":""12lm""},{""name"":""Beam Effective Distance:"",""value"":""-""},{""name"":""Power Source:"",""value"":""AA Batteries x 2""},{""name"":""Torch Body Material:"",""value"":""Plastic""},{""name"":""Product Range:"",""value"":""-""}","PRO ELEC","89874","China","The 89874 from Pro Elec is a black & blue colour 3 LED plastic lamp. It has 10lm to 12lm brightness.
	


    
          
    Lamp size is 4 Ø × 17.5cm
          
    Weight is 95g
          
    Battery size is 2 x AA
          
    Dimensions (LxØ): 175x40mm
          
    Weight: 95g","http://uk.farnell.com/productimages/large/en_GB/LP09299-40.jpg","1","89874 PRO ELEC, LED TORCH, 12 LUMEN, AA BATTERY X 2","Electrical,Torches","263","http://uk.farnell.com/pro-elec/89874/led-torch-12-lumen-aa-battery/dp/2751025"
"FarnellItem","251/97/93W","http://www.farnell.com/datasheets/615489.pdf","(EN)","","{""name"":""No. of Ways:"",""value"":""5""},{""name"":""Current Rating:"",""value"":""-""},{""name"":""Product Range:"",""value"":""-""}","HENSEL","DN2035","Germany","Manufactured in thermoplastic
          
    Insulation voltage: 400V
          
    8 x M20 Conduit entries
          
    IP55 Rated
          
    Grey
          
    Dimensions: 51 x 85 x 85mm","http://uk.farnell.com/productimages/large/en_GB/1835173-40.jpg","1","DN2035 HENSEL, Junction Box, 5","Electrical,Junction Boxes","2096","http://uk.farnell.com/hensel/dn2035/box-junction-85x85x51-w-terms/dp/1835173"
"FarnellItem","1.500206","http://www.farnell.com/datasheets/1499648.pdf","(EN)","","{""name"":""No. of Outlets:"",""value"":""10Outlets""},{""name"":""Outlet Type:"",""value"":""UK""},{""name"":""Current Rating:"",""value"":""13A""},{""name"":""Supply Voltage V AC:"",""value"":""250V""},{""name"":""Plug Type:"",""value"":""UK""},{""name"":""Cable Length:"",""value"":""2m""},{""name"":""Product Range:"",""value"":""-""}","PRO ELEC","20810-2M","China","10-Gang extension with integral neon indicators
          
    Rated at 13A and conforms to BS 1363/A","http://uk.farnell.com/productimages/large/en_GB/PL14001-40.jpg","1","20810-2M PRO ELEC, 10 Gang Extension Lead, White 2m","Electrical,Power Outlet Strips","1651","http://uk.farnell.com/pro-elec/20810-2m/extension-lead-10way-2m/dp/1286489"
"FarnellItem","20810-2M,1.500206","http://www.farnell.com/datasheets/1680021.pdf","(EN)","","{""name"":""No. of Outlets:"",""value"":""10Outlets""},{""name"":""Outlet Type:"",""value"":""UK""},{""name"":""Current Rating:"",""value"":""13A""},{""name"":""Supply Voltage V AC:"",""value"":""250V""},{""name"":""Plug Type:"",""value"":""UK""},{""name"":""Cable Length:"",""value"":""2m""},{""name"":""Peak Surge Current:"",""value"":""4.5kA""},{""name"":""Energy Rating:"",""value"":""125J""},{""name"":""Product Range:"",""value"":""-""}","PRO ELEC","2710+SURGE+SW","China","Very high quality switched power distribution tower with built in surge protection. The product features LED indicators and surge protection.
	


    
          
    Ideal for use with computer, audio/video and other sensitive electrical devices
          
    Max. Surge current: 4500A
          
    Clamping voltage - 775V
          
    Neon Switch and indicators
          
    Robust, strong design
          
    2m lead
          
    BS1363/A and BS5733/A compliant
          
    Dimensions (Dia.xH): Ø190x400mm","http://uk.farnell.com/productimages/large/en_GB/PL10203-40.jpg","1","2710+SURGE+SW PRO ELEC, Surge Protector, 10 Outlets, UK, 13 A, 250 V, UK, 2 m","Electrical,Power Outlet Strips - with Surge Protection","2455","http://uk.farnell.com/pro-elec/2710-surge-sw/extension-lead-10-gang-tower-2m/dp/1661496"
"FarnellItem","","http://www.farnell.com/datasheets/36560.pdf","(EN)","","{""name"":""Finish:"",""value"":""White Moulded""},{""name"":""Product Range:"",""value"":""-""}","MK","735WHI","Great Britain","1-Gang outlet","http://uk.farnell.com/productimages/large/en_GB/42259804.jpg","1","735WHI MK, MAINS SOCKET, CIRCULAR","Electrical,Switch & Socket Ranges","688","http://uk.farnell.com/mk/735whi/mains-socket-circular/dp/107721"
